Sample Name,DB,DOHH2,FARAGE,HBL1,KARPAS422,OCILY1,OCILY18,OCILY19,OCILY7,OCILY8,RCK8,RIVA,SUDHL10,SUDHL16,SUDHL2,SUDHL4,SUDHL6,TMD8,TOLEDO,U2932,WSU_DLCL2
CDK9,1.592896963,2.180026512,1.821407558,1.951013905,1.67499521,1.979137677,1.995078991,2.370459945,2.349905597,2.13755491,2.1243834,1.965773468,2.096300795,1.691134647,1.947257006,2.082886629,1.816691864,2.127557416,2.45682215,2.023271552,1.915534338
CDKL5,-0.422043386,1.055167616,0.721201176,0.877709534,0.935510771,0.603808693,0.985335374,0.438406262,1.33980527,-0.176613381,1.294115599,0.547886777,1.522749676,0.592298713,1.012397995,0.060870889,0.14997688,1.111459553,0.389324225,1.040801512,1.347711414
CDKN1A,0.862387347,3.183771173,2.736740553,2.980685133,1.459834757,1.253475926,2.197142186,2.930009432,2.034926258,2.216083573,3.221460294,2.803340201,2.18831512,1.766455472,2.100534083,2.267336952,1.49653573,2.656567616,2.001715588,2.714824392,1.964237745
CDKN1B,2.212937414,3.105894151,2.734038401,2.743138301,2.46967795,2.845937859,2.831058599,2.835506822,2.88786936,2.676302083,2.704639772,3.159503888,2.673141387,2.654671751,2.815497278,2.163075838,2.432920812,2.794783741,3.046273777,2.98490439,2.720860801
CDKN1C,0.910395073,1.497970058,1.262304741,1.34299642,1.098539557,0.883119439,1.152826462,0.657249501,1.677558072,0.685858755,1.046164047,2.477305703,1.358492786,0.582538876,1.65982754,0.486839621,0.656553114,1.627296358,1.364500642,2.502210979,1.297258802
CDKN2A,0.801971425,-0.124128783,1.789033378,0.164499091,1.864929697,2.178545557,2.258677136,-0.023991736,2.323537657,1.883544628,1.738160395,2.210172293,2.287911712,1.730074674,1.745174561,2.082886629,2.472196175,1.836365291,1.63190246,2.101706801,1.976923652
CDKN2B,0.151987881,0.426778686,1.056993278,1.146015685,1.121147348,1.028451334,1.19082178,0.231280769,2.019179718,0.154379838,1.512913597,0.890309458,1.864954173,0.745266173,1.195328678,0.771270355,0.642075291,1.063333485,0.743290296,1.789330296,1.654309364
CDKN2C,1.87516981,2.161428526,1.512925234,1.607762078,1.85108647,2.438647934,1.744844515,1.926373118,2.294520609,2.041621938,2.052270221,2.418290683,1.932990786,2.433240793,1.991208696,2.201588382,2.417642546,2.153128243,2.625880146,2.061308494,1.532128062
CDKN2D,1.441279474,1.481535333,1.656660456,2.054733757,1.206577543,1.480983316,1.488427623,1.083218234,2.021401178,1.65314972,1.865824431,1.191339454,2.068528217,1.660896814,1.267095656,2.019912281,1.307385926,1.635551412,2.237855441,1.825269884,1.848461208
CDKN3,2.776544978,2.347977282,2.525113289,2.101096601,2.952079872,2.356699977,2.195345722,2.257041631,2.878979803,1.858530355,1.923015164,2.481627077,2.738119906,2.925857933,2.074442486,2.769461734,2.826429816,2.581127116,1.987749932,2.582682359,2.243383422
CDON,0.638654454,1.536525924,1.594881534,1.308034316,1.188094138,1.094828557,1.776666227,0.976008264,1.923381855,1.526063285,1.676132642,0.870106072,2.027374464,0.582538876,1.721587164,0.897616855,0.232951115,1.785427288,1.397293155,1.553051831,1.578983643
