Sample Name,DB,DOHH2,FARAGE,GRANTA519,HAIR_M,HBL1,HC_1,JEKO1,JVM2,KARPAS1718,KARPAS422,MAVER1,MEC1,MINO,OCILY1,OCILY18,OCILY19,OCILY7,OCILY8,RCK8,REC1,RIVA,SP49,SP53,SSK41,SUDHL10,SUDHL16,SUDHL2,SUDHL4,SUDHL6,TMD8,TOLEDO,U2932,UPN1,VL51,WSU_DLCL2
IL13RA2,0.839219482,1.64754034,1.970108158,1.184586167,1.612221883,1.491858025,1.945026797,1.449499752,1.540827797,0.755126248,1.805394095,0.62669633,2.379741179,1.465749021,1.016330702,1.160208415,0.980329638,1.981998138,0.710682339,1.401325569,1.456456894,1.138951384,1.483541445,1.495126555,1.529417001,1.997866799,1.235751389,1.957350428,1.083436717,0.825465788,2.09189203,1.553456683,1.810113902,1.628798025,1.14435285,1.537590958
IL15,1.0052804,2.19020668,1.830345645,1.8954111,2.330568833,2.240046052,2.160355001,1.624555744,2.126692464,0.776315547,1.731004577,1.826476432,2.597866052,1.394442039,1.311171122,1.450117888,1.416917346,2.195419428,0.960559812,2.079445434,1.64740137,1.238082857,1.480956352,1.539545695,1.47810525,2.131062901,1.143206182,2.120737469,1.449445694,0.402702196,1.906001219,1.774864301,1.857734451,1.825017747,2.282773387,1.877539019
IL16,1.594989953,2.517895834,2.413082203,2.189475087,2.382037091,2.211124303,2.353621433,2.345553311,1.728049714,2.354827416,1.387808442,2.487306536,2.66815251,2.7971348,2.395516454,2.721564435,2.739810488,2.757553672,2.547428305,1.886847366,2.378152125,2.167762386,2.714747769,2.746421521,2.558717451,2.484000286,1.919544091,3.201326478,2.450981349,1.915763039,2.766759216,2.60230056,2.57563623,2.307007045,1.363601026,2.444733489
IL17A,0.739324616,1.915945861,1.387986497,0.739063899,1.005179492,1.83582624,1.872269643,0.582125317,1.109869726,0.579034989,1.420600955,0.445641651,2.597304706,1.286909054,1.051722677,1.155301081,0.657249501,1.972679208,0.358499821,1.562459513,1.198544293,0.694014813,1.203884811,1.240521682,0.515176562,2.084943923,0.4953887,1.517870989,0.684120179,0.663614968,1.672961239,1.026146323,1.630763382,1.564043263,0.378975888,1.471246936
IL17F,0.925286629,1.987581688,1.979336542,1.150506378,1.568843092,2.21079911,2.063531424,1.211856735,1.1804508,1.02619302,1.434586602,0.802787589,2.699074295,1.419534619,1.036347815,1.442542792,1.025226287,2.310297998,0.409652343,1.720626861,1.424609527,1.002731637,1.517012928,1.510443313,1.136541708,2.346418409,1.01463316,1.814030341,0.839022139,0.830264671,1.894142613,1.292414212,1.883849377,1.659035858,0.788100064,1.904013915
IL17RB,2.111347322,1.833318867,1.452060325,0.875283646,1.399092011,2.78662673,1.734386269,1.010941892,1.94441331,1.09091835,1.24843999,0.937486163,2.100554767,1.644117656,1.205868684,1.238168017,0.467369958,1.858190166,1.340016415,1.738940799,1.165544032,2.613373125,2.237853478,1.965891255,2.569534224,1.863314293,0.319297441,1.756504625,0.299752978,2.707800554,1.703535323,0.713835317,2.301344646,1.290802776,0.508609746,1.303507752
IL17RD,0.708290382,1.524773081,1.376705487,0.062370289,1.504019996,1.195907555,1.824793356,0.683582958,0.897645625,0.232247502,1.663413338,0.305462948,2.258647823,1.017768203,1.121358605,1.382544862,0.839331124,2.082099018,0.734163435,1.961101318,1.488850423,1.072931584,1.321399529,1.41326447,0.931161073,1.982325414,0.77793529,1.611865175,0.66293088,0.552464516,1.738596139,1.443681888,1.519510682,1.640986696,0.68934591,1.458409712
IL18,0.761226457,1.654022468,1.785480847,0.66443028,0.963118147,1.762011454,2.080481653,1.031725498,1.109869726,0.357186239,0.721630951,0.815752566,2.201326241,1.348505125,1.186924489,2.165060918,0.739436257,2.18611812,0.650386437,1.703202969,1.29967079,0.678220546,0.94713762,0.921095287,1.634152351,2.237967885,0.115177458,1.459186571,-0.001277018,0.552464516,1.775667451,0.833021725,2.484021502,1.546473899,0.4322214,2.123990703
IL19,0.889710475,1.85460953,2.100981356,1.132408156,1.577872409,1.81690661,2.067403317,0.780492971,1.418138131,0.852036261,1.507607539,1.323687768,2.488146862,1.280660105,1.149387328,1.556192139,0.507487181,2.248447956,0.182408562,1.722250393,1.316138904,1.002731637,1.273974879,1.071379283,1.100466343,2.387942024,0.863365485,1.997139563,0.361900885,0.663614968,2.007276038,1.427782477,2.093330563,1.645767968,0.931061904,1.979547795
IL1A,1.684317522,1.774718238,1.964239225,1.13852508,1.714710368,1.467334887,2.214875351,0.859674217,2.243837779,1.104079796,1.621749699,0.761394904,2.44436429,1.377989523,1.04410328,1.467295615,1.119023064,2.061987374,1.127507692,1.822389377,1.459371633,0.914309734,1.360745261,1.027913589,1.075843868,2.171675473,0.717237449,1.41445457,1.008631271,0.552464516,1.482462793,1.343566735,1.426152393,1.612851122,0.909342655,1.599859485
IL1B,1.143213957,1.611824788,1.793433562,0.815697956,1.760467859,1.526226927,2.034030954,0.615125577,1.44256273,0.589758854,1.65521026,0.739118509,2.272512669,1.456051453,1.221473758,1.464882862,1.575891336,2.231298999,1.30462444,1.758754158,1.332005308,1.14722391,1.359032066,1.327307822,0.859985482,2.17462713,0.745266173,1.343391214,0.537992144,0.649374529,1.569965337,1.02241845,1.620836218,1.880115263,1.736579339,1.842225078
IL1R1,0.519964667,1.809246008,1.646955148,0.7961024,2.56738082,1.549210834,1.853056011,0.433705485,1.418138131,0.533277498,1.429974581,0.56302725,2.47370576,1.444696702,1.087934849,1.428302353,0.494522204,2.10863192,0.393261927,2.36783395,1.3079829,0.875245712,0.964511716,1.149574616,0.859985482,2.188833062,0.16953512,1.532163505,0.428847674,0.570193283,1.751308105,1.284296322,1.611959818,1.675625511,2.082080272,1.693938159
IL1R2,0.827154971,1.839134218,1.53252079,1.331493906,2.445361721,1.639200871,1.916278384,0.382552962,1.01204637,0.684545173,1.19611211,1.488393632,2.434534853,1.146533347,0.945267346,1.248244907,0.390981612,2.011540611,0.340016415,3.393537244,1.211587149,0.653396962,0.964511716,0.993967059,0.969790475,2.072267762,0.694961055,1.129511394,0.299752978,0.514675955,1.710471851,0.713835317,1.240122612,1.437187108,2.952452919,1.688858633
